Data,ACP,BFT,BDX,CDR,CPS,DNP,KTY,KRU,LPP,OPL,PKN,RBW,SNT,XTB,value
2025-05-19,13180.450368016885,8374.384236453203,9308.084202581469,8571.406342389444,8656.174334140436,9481.069914876947,8875.863038315225,6898.737048702915,7306.249440916004,9230.476411034986,10450.247595557506,8810.951225425222,7963.777928232905,8286.262948569813,125394.13503521294
2025-05-20,13112.799640506644,8312.807881773399,9457.196189394992,8486.528461320731,8585.552865213882,9506.00135342095,8762.728829945985,6874.8376789818085,7237.668470644364,9417.137741254675,10560.20187387614,8714.713939056139,8020.308511168361,8229.395012814777,125277.87844937286
2025-05-21,13323.277102601505,8214.285714285714,9618.253353148397,8305.658179619528,8577.986279257466,9388.46742885636,8721.591108121931,6729.726707670698,7132.514088916719,9453.32821206567,10370.672758325632,8661.242486241295,7815.398886827458,8188.203158646161,124500.60546458453
2025-05-22,12571.440243290754,8103.44827586207,9591.400096372316,8121.083058063733,8378.732849071832,9392.029062934076,8582.743086936114,6700.700941006425,7084.479455526732,9379.051002742326,10202.83879691188,8554.299580611614,7857.787664828965,8041.113473760685,122561.14758791952
2025-05-23,12203.008698916023,7918.71921182266,9543.681765515865,8054.618231072343,8373.688458434222,9388.46742885636,8582.743086936114,6815.089254679043,6867.321913110893,9259.04146491925,10207.180940386885,8399.266353541463,7773.010108825951,7999.921619592069,121385.75853660915
2025-05-26,12526.28856590594,7967.980295566503,9824.034756410398,8124.750849519779,8424.13236481033,9701.891227695267,8922.14571204383,7187.2442383406615,7143.928720517638,9337.141469236285,10402.49958057073,8629.182271947653,7963.777928232905,8133.284198088362,124288.28217888628
2025-05-27,12909.770669408941,8349.75369458128,9862.80200167482,8128.455689374372,8393.866020984666,9812.301884104429,8968.428385772435,7178.7061974388025,7127.948236276352,9371.425585815594,10503.769571939356,8527.563854204192,8020.308511168361,8141.1327738826385,125296.23307662623
2025-05-28,14180.46787581016,8633.004926108375,9797.197093860086,8087.850644568039,8323.244552058111,9847.918224881576,9025.000963310144,7074.570677652518,7018.228001908341,9358.091192724143,10785.89995514675,8538.26947346479,7970.84883069988,8105.829985309996,126746.42239750293
2025-05-29,13834.612170127835,7426.108374384236,9379.661698866143,8139.533160539602,8141.646489104117,9723.261032161558,8932.435615852934,6931.174459325881,6739.291677848347,9401.907080461866,10508.111715414361,8286.998960025556,7773.010108825951,8080.335282729931,123298.0878256683
2025-05-30,13804.511051871292,7598.522167487685,9302.111614111527,8187.5108366565755,8424.13236481033,9787.370445560424,8911.866754940906,6693.877653089038,6592.998032024331,9182.857901364223,10639.776711108014,8233.527507210716,7666.983208621666,8109.749005706601,123135.79525456333
2025-06-02,14022.59058209727,7647.783251231527,8786.161060282599,8176.4333654913435,8396.38821630347,9634.220180218686,8824.435412682065,6726.315063712005,6583.866326743597,9342.860531931334,10704.877736756542,7730.986480332249,7666.983208621666,8041.113473760685,122285.01489016505
2025-06-03,13405.978389240017,7709.359605911331,8657.914147549445,8730.158730158731,8330.811138014527,9655.589984684973,8731.881011931035,6589.742133302754,6519.851209112324,9047.617702748339,10749.730989426647,7730.986480332249,7801.257081893507,7954.810745026848,121615.68934933272
2025-06-04,13796.985772307158,7783.251231527094,8898.065224408707,9520.104683954933,8401.432606941082,9595.042205363823,9004.421155691936,6721.188666768838,6551.858767927961,9207.620333315446,10879.948603961966,7292.565882041069,7737.655596491074,7919.507956454207,123309.6486871553
2025-06-05,13932.36401589462,7635.467980295567,8698.459134551658,9560.709728761265,8282.889426957225,9335.042917690638,8788.442642762564,6629.002831843106,6545.009988967409,9142.854722089865,10822.068920866848,7324.626096334713,7659.948942955037,7811.640080537977,122168.52743050847
2025-06-06,13857.111220253262,7697.04433497537,8579.943018699038,9867.09998473606,8353.510895883777,9224.632261281477,8778.16368565964,6721.188666768838,6542.7270626472255,9100.955275114151,10665.814008719772,7217.68319070503,7666.983208621666,7848.912914309989,122121.76972837528
2025-06-09,14052.61491178683,7721.674876847291,8941.729056564935,9892.959766921116,8313.155770782889,9274.495138369484,8860.43912930775,6893.610651759747,6590.715105704148,9100.955275114151,10800.373766730092,7249.800048486825,7568.063847684701,7905.7808500650235,123166.36819612498
2025-06-10,14150.366757553615,7758.620689655173,9054.007482109524,9948.310074348727,8350.98870056497,9463.261744488373,9174.127941598885,7019.948650292919,6663.861928616156,9478.090644016893,11256.112072746311,7319.30160844849,7638.736235554109,7901.861829668418,125177.59635966255
2025-06-11,13954.863066020047,7733.990147783252,9172.523597962147,9904.000189687802,8287.933817594834,9342.166185846067,8742.159969033957,6857.761597178089,6595.280958344515,9190.473231760629,11120.104933577655,7164.26838137834,7568.063847684701,7827.337232126529,123460.92715597857
