Data,ALE,MBK,PCO,ZAB,value
2025-07-28,32152.974504249294,39584.09673873214,33572.69138553196,25366.032210834554,130675.79483934796
2025-07-29,32657.577903682723,40216.19640894101,34117.604320554114,25683.260126891168,132674.638760069
2025-07-30,33418.90934844193,40600.95272993771,35237.703131433,25841.874084919473,135099.43929473212
2025-07-31,32768.23654390935,40701.72224257971,35358.79489477126,25317.227916056614,134145.98159731695
2025-08-01,31595.254957507084,39666.54452180286,34753.33607807997,24475.353831137138,130490.48938852706
2025-08-04,31980.347025495754,40775.00916086479,34284.10549514422,24426.549536359198,131466.01121786397
2025-08-05,31705.91359773371,39813.11835837304,34011.64902763314,24402.14738897023,129932.82837271011
2025-08-06,31998.052407932017,41352.14364235984,34208.423143057815,26500.732064421667,134059.35125777134
2025-08-07,32998.40651558074,43202.63832905827,34117.604320554114,26598.34065397755,136916.98981917067
2025-08-08,33449.893767705384,44045.43788933676,34496.01608098617,26744.75353831137,138736.10127633967
2025-08-11,33011.68555240794,45007.328691828516,34223.55961347509,26598.34065397755,138840.9145116891
2025-08-12,32962.995750708214,44998.167827042875,34087.33137971955,26476.329917032697,138524.82487450333
2025-08-13,33547.27337110482,45575.30230853793,34450.60666973433,26476.329917032697,140049.5122664098
2025-08-14,33352.51416430595,45419.56760718212,34420.33372889976,26695.94924353343,139888.36474392127
2025-08-18,33529.56798866856,45492.85452546721,33935.96667554673,26439.726695949244,139398.11588563176
2025-08-19,34082.861189801704,45804.32392817883,33920.830205129445,26756.954612005855,140564.96993511583
2025-08-20,33604.81586402267,45126.41993404178,33194.2796250999,26354.31918008785,138279.8346032522
2025-08-21,34065.15580736544,45694.3935507512,32891.55021675426,26720.3513909224,139371.45096579328
2025-08-22,33941.21813031162,42139.97801392452,33012.641980092514,27183.99219131284,136277.83031564148
2025-08-25,33892.5283286119,42973.61670941737,33209.41609551718,27244.997559785257,137320.5586933317
2025-08-26,33715.474504249294,43156.83400513009,33663.510208035645,27489.019033674966,138024.83775109
2025-08-27,33002.8328611898,41590.32612678637,33527.28197428011,27049.780380673503,135170.22134292978
