Data,A,B,C,WIG
2025-08-05,142008.80356083793,129932.82837271012,124463.3929149427,106169.31
2025-08-06,146097.02888950286,134059.35125777134,125894.1082142056,108259.29
2025-08-07,149458.46304906136,136916.98981917067,126816.7050220438,110046.8
2025-08-08,150106.3980870758,138736.10127633967,126818.8244221684,110917.43
2025-08-11,149148.61011094888,138840.9145116891,125434.55800736924,110092.82
2025-08-12,151266.34498675802,138524.82487450333,125630.96364305427,110683.44
2025-08-13,150115.07484164677,140049.5122664098,125758.49132594094,110781.85
2025-08-14,146949.46451936822,139888.36474392127,124607.86604925084,109366.66
2025-08-18,147637.78235460765,139398.11588563176,126856.74871927797,109911.65
2025-08-19,149630.4741651943,140564.96993511583,129030.07037998004,111227.48
2025-08-20,148295.02367320075,138279.8346032522,129126.59075081428,110796.99
2025-08-21,149650.73518406483,139371.45096579328,130881.19560699316,112002.76
2025-08-22,142215.5821872555,136277.83031564148,129842.9689449292,107648.46
2025-08-25,143906.8535591796,137320.5586933317,130296.14116901264,108528.44
2025-08-26,144551.14400629228,138024.83775109,130195.52577206638,108534.08
2025-08-27,142215.55821047755,135170.22134292978,128394.19718004367,106857.65
2025-08-28,141973.59062684048,133904.9105021074,127648.78560309716,106030.68
2025-08-29,138862.8925855408,131571.61954452554,127171.07119592249,104775.45
2025-09-01,136046.78678873886,129286.90347546688,126586.69471311,103939.74
2025-09-02,136086.09594424142,128015.96603793593,125481.16459783285,103935.91
2025-09-03,137111.15917915822,127579.7745727287,126165.07771218766,104458.97
2025-09-04,139799.465937364,129769.29439971516,128841.84993372248,105999.04
2025-09-05,140957.391618632,128867.06958729692,129126.53016449609,105563.27
2025-09-08,143655.17504989408,131888.6504670195,131310.18521727613,107523.29
2025-09-09,140665.70344910925,130627.72739731416,130259.39911254318,106641.59
2025-09-10,139828.637183514,129544.0902264078,129018.78547757314,105682.9
2025-09-11,141907.97099317732,130614.03762252604,130618.3943708351,107084.89
2025-09-12,140842.9099738068,129010.90272134768,129699.41616841704,106413.18
2025-09-15,143332.64727370834,131045.1375225441,131166.80576246456,107484.11
2025-09-16,140750.4487359497,128722.47013587708,129623.29216104066,105950.79
2025-09-17,139528.8022068691,129232.9888265278,129663.70136825014,105617.25
2025-09-18,138536.20897801593,130812.72466570952,129778.4861859206,105564.9
2025-09-19,138462.22434145794,130440.36555171823,128975.703188345,105380.97
2025-09-22,137704.6220032543,130935.55619985338,129520.772876246,105324.97
2025-09-23,139059.49162319952,131738.62305550813,129386.0808561384,105866.67
2025-09-24,140914.787344296,132878.03215986697,129471.37088765213,106520.9
2025-09-25,139315.40920580228,136510.1917347665,128199.47224380643,105561.78
2025-09-26,141431.7745063886,139501.4868206992,128067.79597992406,106570.62
2025-09-29,140984.10675962176,140569.21747172397,127242.45661037874,106524.71
2025-09-30,140537.64293155647,140550.02212062431,127586.78162485835,106363.86
2025-10-01,141161.933879583,139638.31845993918,128999.70308232552,107121.5
2025-10-02,141899.91333491565,139724.25146300902,130191.26351005687,107695.9
2025-10-03,142218.50326526194,139708.2517108156,131924.3980742848,108016.79
2025-10-06,140798.44294107985,138144.51720625872,130929.56962744532,107133.09
2025-10-07,142328.35224313667,139375.6327813513,130428.15978678565,107937.15
2025-10-08,143345.9697615197,137123.50029047485,131003.65345956173,108295.93
2025-10-09,144397.0294693392,138200.6396563388,129740.61994913493,108019.25
2025-10-10,145034.88102522766,138420.3980377689,128446.30528297005,107951.51
2025-10-13,144677.79695797496,138394.42489953456,128108.21566680196,107846.06
2025-10-14,141362.99767037304,137339.31885117386,126632.06282579331,106653.38
2025-10-15,145304.6713494028,139846.58028176212,130122.55136728963,108729.37
2025-10-16,144166.2496074319,140941.63170451717,128913.06117982866,108214.71
2025-10-17,143048.97416731447,140205.31548880384,129466.69689410116,107764.77
2025-10-20,147800.31113247166,142160.0707518273,131580.72907026263,109618.82
2025-10-21,148837.2591597883,142817.72735093045,130971.22341051415,109511.51
2025-10-22,150095.10776714896,144400.20056752037,132126.0889149025,110937.56
2025-10-23,150784.6895684766,145949.39985738805,131716.75291304715,111568.93
2025-10-24,151066.37082690862,145070.02601958404,131940.658834153,111427.76
2025-10-27,152585.17306414444,144677.99807944064,132742.66643851972,111612.44
2025-10-28,155833.41294333848,149406.42646138126,134689.69147336978,113459.04
2025-10-29,155353.65260135673,146778.40787737138,134240.94649943413,113294.48
2025-10-30,152992.9259334475,146070.45812117038,133751.0551510862,112708.11
2025-10-31,151394.99357844843,143765.95111642833,132259.9190056604,111487.05
2025-11-03,151865.58590418322,144753.74838348263,132899.5269356792,112058.99
2025-11-04,152536.02712985544,143590.58496630157,131324.30307463053,111372.83
2025-11-05,154448.90436231584,143809.55593149038,131635.1015435768,111559.98
2025-11-06,155602.9207229946,144466.53502723307,130674.69878672002,112192.96
2025-11-07,152650.9725405809,146140.05368526338,128829.7134270025,110985.15
2025-11-10,155285.59963316846,148675.24115818605,130912.18739237444,112668.07
2025-11-12,154543.69016394138,149280.09454429022,130850.60566632402,112760.18
2025-11-13,155574.27471025233,149005.14332174297,129876.26424471772,112532.48
2025-11-14,154309.35013228573,148668.74394243478,129031.54334125404,111687.24
2025-11-17,152263.5818462448,147284.2250532348,127622.5642762126,110616.15
2025-11-18,145881.8531834587,144000.217273984,125905.50127810716,108437.93
2025-11-19,148725.86515243858,145869.53686792502,127710.54785065292,110230.88
2025-11-20,150572.67748691174,144883.20850184534,127198.75087224516,110369.15
2025-11-21,148062.90980559742,144455.15495095297,126289.18541941496,108942.98
2025-11-24,147577.7008387935,144110.7946299023,127295.3665396804,109053.32
2025-11-25,148435.54093088864,144973.4500194369,128980.90394874835,110415.52
2025-11-26,149549.13606256145,146037.90674794102,130661.46648863736,111677.76
2025-11-27,149696.68337203877,144915.2761422718,131051.20623724526,111507.87
2025-11-28,150312.65152967852,144284.76784415953,132145.26885682254,111866.66
2025-12-01,149011.49860991962,143707.09951365698,132095.74286743923,111917.21
2025-12-02,145938.3469198504,142486.65370228633,132023.574767385,110617.7
2025-12-03,145157.5258900238,141214.3074963637,130908.48823973109,109948.09
2025-12-04,144144.98111925548,143029.48450534695,130366.52224654848,110072.01
2025-12-05,145015.75291031477,143095.04204472384,130183.2229437057,109977.3
2025-12-08,144719.64768756845,141866.07061103068,130591.49651297215,110095.19
2025-12-09,146793.31062888817,143419.88515509464,133866.0266994965,111890.26
2025-12-10,149620.45050787064,142990.00567127578,134096.98002512823,112365.38
2025-12-11,150238.22680355667,144809.4292316084,134409.63424984863,113456.5
2025-12-12,149723.32873025295,145084.5245003303,134612.174603849,113797.28
2025-12-15,152422.2815259721,146920.16010359133,135385.25672637596,115368.66
2025-12-16,150580.61263700644,145470.8806334946,134047.72596846818,114246.43
2025-12-17,153236.69196852972,142810.8627933543,133761.30319896538,114381.38
2025-12-18,151035.913142116,145009.25152911094,134257.30776720488,114486.43
2025-12-19,153058.54020979596,146622.16921010925,134676.71186536053,115547.93
2025-12-22,154645.7663735064,148711.8454860334,136616.41212223883,116571.84
2025-12-23,154195.75740637447,148547.52504539824,136749.38058965156,116148.72
2025-12-29,154130.4910088518,149120.1515392328,138072.39295826602,116600.23
2025-12-30,155231.53191359705,149432.2080206196,138449.32995519033,117240.24
